a001,RecordReference
a002,NotificationType
a194,RecordSourceType
a197,RecordSourceName
b221,ProductIDType
b233,IDTypeName
b244,IDValue
b246,Barcode
b012,ProductForm
b333,ProductFormDetail
b202,TitleType
b203,TitleText
n339,NoContributor
b204,AudienceCodeType
b206,AudiencceCodeValue
d102,TextTypeCode
d104,Text
f114,MediaTypeFileCode
f116,MediaFileLinkTypeCCode
f117,MediaFileLink
b241,NameCodeType
b243,NameCodeValue
b079,ImprintName
b081,PublisherName
b394,PublishingStatus,
j137,SupplierName
j268,ReturnsCodeType
j269,ReturnsCode
j396,ProductAvailability
j363,DiscountCodeType
j378,DiscountCodeTypeName
j364,DiscountCode
j151,PriceAmount
